团单号,酒店名称,星级,国家,报价币种,房型要求,团房组底价,运营报价,Booking.com,Expedia,Trip.com,Agoda,Traveloka
1342420260630,Mercure Beach Penang,Four-star,MY,IDR,30 Twin + 5 Double,,,,,,,
1343620260701,Need budget hotel,Two-star,SG,IDR,Double,0,0,0,0,0,0,0
1346120260701,Carlton Hotel Bangkok Sukhumvit,Four-star,TH,IDR,Lowest Category,,,,,,,
1346120260701-1,Mercure Bangkok Sukhumvit 24 (Close to the Budget),Four-star,TH,IDR,Lowest Category,,,,,,,
1346720260702,Ibis hotel balikpapan,Three-star,ID,IDR,Double room,,,,,,,
1346820260702,Sotetsu Fresa Inn Ginza-Nanachome,Three-star,JP,IDR,double / twin room,,,,,,,
1347720260702,Hotel Barcelona Universal,Four-star,ES,IDR,Lowest Category,,,,,,,
1347920260702,M-World Hotel Petaling,Five-star,MY,IDR,The Lowest Room Type,,,,,,,
1349120260703,Holiday Inn Malaka Hotel,Five-star,MY,IDR,The Lowest Category,,,,,,,
1353020260707,Grand Millennium Hotel Kuala Lumpur,Five-star,MY,IDR,Lowest Category,,,,,,,
1354120260708,- Holiday Inn SHANGHAI NANJING ROAD by IHG- Shanghai People's Square Nanjing East Road Pedestrian Street Treasury Hotel,Four-star,CN,IDR,Standard Room - 1 Double Bed,,,,,,,
1354120260708-1,- Holiday Inn SHANGHAI NANJING ROAD by IHG- Shanghai People's Square Nanjing East Road Pedestrian Street Treasury Hotel,Four-star,CN,IDR,8 room - upper standard (double bed) + 7 standard (double bed),,,,,,,
1346120260701-2,Eastin Grand Hotel Phayathai,Four-star,TH,IDR,Lowest Category,1,2,5,4,4,5,6
1346120260701-2,Eastin Grand Hotel Phayathai,Four-star,TH,IDR,Lowest Category,2,3,8,7,4,5,8
